Temperature,Humidity,Pressure,CO,CO2,Fire
28.2,47.0,1030.0,0.54,926.0,False
27.7,48.4,1030.0,0.1,599.0,False
27.0,49.4,1030.0,0.0,737.0,False
25.9,51.6,1030.0,0.0,542.0,False
28.2,47.0,1030.0,0.54,934.0,False
26.8,48.4,1030.0,0.0,727.0,False
27.3,47.8,1030.0,0.15,921.0,False
27.0,48.7,1030.0,0.0,427.0,False
26.3,51.3,1030.0,0.15,619.0,False
28.3,48.2,1030.0,0.4,562.0,False
27.7,48.4,1030.0,0.17,514.0,False
27.0,49.3,1030.0,0.0,734.0,False
25.9,51.3,1030.0,0.0,542.0,False
28.3,46.7,1030.0,0.48,991.0,False
26.8,48.3,1030.0,0.0,705.0,False
27.3,47.7,1030.0,0.11,921.0,False
27.0,48.2,1030.0,0.0,433.0,False
26.3,51.3,1030.0,0.11,614.0,False
28.3,48.1,1030.0,0.49,655.0,False
27.7,48.0,1030.0,0.06,354.0,False
27.0,49.3,1030.0,0.0,733.0,False
25.9,51.6,1030.0,0.0,544.0,False
28.3,46.4,1030.0,0.57,1010.0,False
26.8,48.3,1030.0,0.0,675.0,False
27.4,47.7,1030.0,0.02,910.0,False
27.1,48.8,1030.0,0.0,228.0,False
26.3,51.7,1030.0,0.11,610.0,False
28.3,48.2,1030.0,0.37,804.0,False
27.7,48.2,1030.0,0.1,334.0,False
27.0,49.1,1030.0,0.0,733.0,False
25.9,51.7,1030.0,0.0,543.0,False
28.3,46.4,1030.0,0.48,979.0,False
26.8,48.1,1030.0,0.0,661.0,False
27.4,47.6,1030.0,0.0,910.0,False
27.1,48.4,1030.0,0.0,290.0,False
26.3,51.1,1030.0,0.02,595.0,False
28.3,48.1,1030.0,0.32,845.0,False
27.7,48.3,1030.0,0.03,303.0,False
26.9,49.3,1030.0,0.0,734.0,False
25.9,51.2,1030.0,0.0,541.0,False
28.3,46.4,1030.0,0.56,936.0,False
26.8,48.4,1030.0,0.0,626.0,False
27.4,47.6,1030.0,0.05,895.0,False
27.1,47.9,1030.0,0.0,471.0,False
26.3,50.9,1030.0,0.09,604.0,False
28.4,47.9,1030.0,0.34,674.0,False
27.8,48.0,1030.0,0.0,225.0,False
26.9,49.4,1030.0,0.0,734.0,False
25.9,51.5,1030.0,0.0,540.0,False
28.3,46.0,1030.0,0.58,912.0,False
26.9,48.2,1030.0,0.0,689.0,False
27.4,47.6,1030.0,0.03,893.0,False
27.1,47.9,1030.0,0.0,504.0,False
26.3,50.8,1030.0,0.1,585.0,False
28.4,47.9,1030.0,0.34,573.0,False
27.8,47.6,1030.0,0.1,546.0,False
26.9,49.4,1030.0,0.0,737.0,False
25.9,51.2,1030.0,0.0,541.0,False
28.3,46.0,1030.0,0.61,973.0,False
26.9,48.3,1030.0,0.05,694.0,False
27.4,47.8,1030.0,0.0,897.0,False
27.1,48.0,1030.0,0.0,297.0,False
26.3,51.7,1030.0,0.11,547.0,False
28.3,48.0,1030.0,0.27,768.0,False
27.7,47.8,1030.0,0.13,607.0,False
26.9,49.2,1030.0,0.0,737.0,False
25.9,51.3,1030.0,0.0,542.0,False
28.3,46.1,1030.0,0.63,992.0,False
26.9,48.4,1030.0,0.0,702.0,False
27.5,48.6,1030.0,0.025,909.0,False
27.1,48.3,1030.0,0.0,434.0,False
26.3,51.9,1030.0,0.1,564.0,False
28.4,47.9,1030.0,0.26,811.0,False
27.8,47.9,1030.0,0.0,505.0,False
26.9,50.0,1030.0,0.0,734.0,False
25.9,51.2,1030.0,0.0,541.0,False
28.4,45.9,1030.0,0.5,982.0,False
26.9,48.7,1030.0,0.0,706.0,False
27.5,47.5,1030.0,0.06,916.0,False
